"Genus","Species.Name","a","b"
"Acanthurus","Acanthurus leucocheilus",0.02291,2.96
"Acanthurus","Acanthurus leucopareius",0.02291,2.96
"Acanthurus","Acanthurus leucosternon",0.0286,2.921
"Acanthurus","Acanthurus lineatus",0.016755,2.969606
"Acanthurus","Acanthurus maculiceps",0.02291,2.96
"Acanthurus","Acanthurus mata",0.01906,2.976475
"Acanthurus","Acanthurus nigricans",0.0263,2.93
"Acanthurus","Acanthurus nigricauda",0.015087,3.021904
"Acanthurus","Acanthurus nigrofuscus",0.014309,3.096389
"Acanthurus","Acanthurus nigroris",0.02291,2.96
"Acanthurus","Acanthurus nubilus",0.02291,2.96
"Acanthurus","Acanthurus olivaceus",0.01897,3.055
"Acanthurus","Acanthurus polyzona",0.02291,2.96
"Acanthurus","Acanthurus pyroferus",0.02291,2.96
"Acanthurus","Acanthurus reversus",0.02291,2.96
"Acanthurus","Acanthurus sohal",0.02291,2.96
"Acanthurus","Acanthurus tennentii",0.02291,2.96
"Acanthurus","Acanthurus thompsoni",0.01698,2.99
"Acanthurus","Acanthurus triostegus",0.038953,2.946438
"Acanthurus","Acanthurus tristis",0.02291,2.96
"Acanthurus","Acanthurus xanthopterus",0.026812,2.892373
"Acentrogobius","Acentrogobius nebulosus",0.00891,3.07
"Acentronura","Acentronura gracilissima",0.00389,3.12
"Acentronura","Acentronura tentaculata",0.00389,3.12
"Achoerodus","Achoerodus gouldii",0.018,3.0441
"Achoerodus","Achoerodus viridis",0.01995,2.99
"Acreichthys","Acreichthys radiatus",0.02188,2.91
"Acreichthys","Acreichthys tomentosus",0.011,3.242
"Aeoliscus","Aeoliscus strigatus",0.00389,3.12
"Aethaloperca","Aethaloperca rogaa",0.01148,3.05
"Aetobatus","Aetobatus flagellum",0.028834,3.182922
"Aetobatus","Aetobatus narinari",0.005686,3.13
"Aetobatus","Aetobatus ocellatus",0.0038,3.08
"Alectis","Alectis ciliaris",0.03003,2.872138
"Alectis","Alectis indica",0.0327,2.64
"Alepes","Alepes djedaba",0.030103,2.955244
"Alepes","Alepes kleinii",0.0114,3.06
"Alepes","Alepes vari",0.01413,2.96
"Alloblennius","Alloblennius pictus",0.00741,3
"Alphestes","Alphestes immaculatus",0.01148,3.05
"Alphestes","Alphestes multiguttatus",0.01148,3.05
"Altrichthys","Altrichthys azurelineatus",0.02239,2.99
"Altrichthys","Altrichthys curatus",0.02239,2.99
"Aluterus","Aluterus monoceros",0.015912,2.916651
"Aluterus","Aluterus scriptus",0.823,1.814
"Amanses","Amanses scopas",0.02188,2.91
"Ambassis","Ambassis interrupta",0.013779,2.921149
"Ambassis","Ambassis miops",0.01218,2.99
"Amblyeleotris","Amblyeleotris fasciata",0.00617,3.08
"Amblyeleotris","Amblyeleotris fontanesii",0.00617,3.08
"Amblyeleotris","Amblyeleotris guttata",0.00617,3.08
"Amblyeleotris","Amblyeleotris japonica",0.00617,3.08
"Amblyeleotris","Amblyeleotris periophthalma",0.00617,3.08
"Amblyeleotris","Amblyeleotris steinitzi",0.00617,3.08
"Amblyeleotris","Amblyeleotris sungami",0.00617,3.08
"Amblygaster","Amblygaster clupeoides",0.00342,3.18
"Amblyglyphidodon","Amblyglyphidodon aureus",0.02239,2.99
"Amblyglyphidodon","Amblyglyphidodon batunai",0.02239,2.99
"Amblyglyphidodon","Amblyglyphidodon curacao",0.019933,3.186767
"Amblyglyphidodon","Amblyglyphidodon flavilatus",0.02239,2.99
"Amblyglyphidodon","Amblyglyphidodon indicus",0.02239,2.99
"Amblyglyphidodon","Amblyglyphidodon leucogaster",0.02286,2.93605
"Amblyglyphidodon","Amblyglyphidodon melanopterus",0.02239,2.99
"Amblyglyphidodon","Amblyglyphidodon orbicularis",0.02239,2.99
"Amblyglyphidodon","Amblyglyphidodon silolona",0.02239,2.99
"Amblyglyphidodon","Amblyglyphidodon ternatensis",0.02239,2.99
"Amblygobius","Amblygobius albimaculatus",0.00891,3.07
"Amblygobius","Amblygobius decussatus",0.00617,3.08
"Amblygobius","Amblygobius nocturnus",0.00891,3.07
"Amblygobius","Amblygobius phalaena",0.01838,2.83357
"Amblygobius","Amblygobius sphynx",0.00891,3.07
"Amblypomacentrus","Amblypomacentrus breviceps",0.01479,2.98
"Amblypomacentrus","Amblypomacentrus clarus",0.01479,2.98
"Amblypomacentrus","Amblypomacentrus vietnamicus",0.01479,2.98
"Amblyrhynchotes","Amblyrhynchotes honckenii",0.0497,2.97
"Ammolabrus","Ammolabrus dicrus",0.00776,3.01
"Amphichaetodon","Amphichaetodon howensis",0.02188,3.02
"Amphichaetodon","Amphichaetodon melbae",0.02188,3.02
"Amphiprion","Amphiprion akallopisos",0.01122,3.04
"Amphiprion","Amphiprion akindynos",0.027867,2.902918
"Amphiprion","Amphiprion allardi",0.02291,2.99
"Amphiprion","Amphiprion barberi",0.02291,2.99
"Amphiprion","Amphiprion bicinctus",0.02291,2.99
"Amphiprion","Amphiprion chagosensis",0.02291,2.99
"Amphiprion","Amphiprion chrysogaster",0.02291,2.99
"Amphiprion","Amphiprion chrysopterus",0.02291,2.99
"Amphiprion","Amphiprion clarkii",0.02291,2.99
"Amphiprion","Amphiprion ephippium",0.02291,2.99
"Amphiprion","Amphiprion frenatus",0.02291,2.99
"Amphiprion","Amphiprion fuscocaudatus",0.02291,2.99
"Amphiprion","Amphiprion latezonatus",0.02291,2.99
"Amphiprion","Amphiprion latifasciatus",0.02291,2.99
"Amphiprion","Amphiprion leucokranos",0.02291,2.99
"Amphiprion","Amphiprion mccullochi",0.02291,2.99
"Amphiprion","Amphiprion melanopus",0.01454,3.29798
"Amphiprion","Amphiprion nigripes",0.01122,3.04
"Amphiprion","Amphiprion ocellaris",0.01122,3.04
"Amphiprion","Amphiprion omanensis",0.02291,2.99
"Amphiprion","Amphiprion pacificus",0.01122,3.04
"Amphiprion","Amphiprion percula",0.01122,3.04
"Amphiprion","Amphiprion perideraion",0.01122,3.04
"Amphiprion","Amphiprion polymnus",0.02291,2.99
"Amphiprion","Amphiprion rubrocinctus",0.01122,3.04
"Amphiprion","Amphiprion sandaracinos",0.01122,3.04
"Amphiprion","Amphiprion sebae",0.01122,3.04
"Amphiprion","Amphiprion thiellei",0.01122,3.04
"Amphiprion","Amphiprion tricinctus",0.04047,2.85853
"Anacanthus","Anacanthus barbatus",0.00603,3.07
"Anampses","Anampses caeruleopunctatus",0.01,3.06
"Anampses","Anampses chrysocephalus",0.01,3.06
"Anampses","Anampses cuvier",0.01995,3.01
"Anampses","Anampses elegans",0.01,3.06
"Anampses","Anampses femininus",0.01,3.06
"Anampses","Anampses geographicus",0.01,3.06
"Anampses","Anampses lennardi",0.01,3.06
"Anampses","Anampses lineatus",0.01,3.06
"Anampses","Anampses melanurus",0.01,3.06
"Anampses","Anampses meleagrides",0.01,3.06
"Anampses","Anampses neoguinaicus",0.01,3.06
"Anampses","Anampses twistii",0.01,3.06
"Anchichoerops","Anchichoerops natalensis",0.00977,3.05
"Anisotremus","Anisotremus caesius",0.01622,3.03
"Anisotremus","Anisotremus davidsonii",0.01622,3.03
"Anisotremus","Anisotremus interruptus",0.04427,2.91
"Anisotremus","Anisotremus scapularis",0.0199,3.013
"Anisotremus","Anisotremus taeniatus",0.01622,3.03
"Anodontostoma","Anodontostoma chacunda",0.014082,2.98846
"Anoplocapros","Anoplocapros lenticularis",0.01995,3.01
"Antennarius","Antennarius biocellatus",0.01995,3.01
"Antennarius","Antennarius commerson",0.01995,3.01
"Antennarius","Antennarius hispidus",0.01995,3.01
"Antennarius","Antennarius indicus",0.01995,3.01
"Antennarius","Antennarius maculatus",0.01995,3.01
"Antennarius","Antennarius pictus",0.01995,3.01
"Antennarius","Antennarius randalli",0.01995,3.01
"Antennarius","Antennarius striatus",0.01995,3.01
"Anthias","Anthias noeli",0.00933,2.97
"Anthias","Anthias woodsi",0.00933,2.97
"Anyperodon","Anyperodon leucogrammicus",0.002316,3.436084
"Aphareus","Aphareus furca",0.0277,2.87
"Aphareus","Aphareus rutilans",0.00954,2.961
"Aplodactylus","Aplodactylus arctidens",0.00526,3.207
"Aplodactylus","Aplodactylus etheridgii",0.00468,3.13
"Aplodactylus","Aplodactylus lophodon",0.00468,3.13
"Apogon","Apogon atradorsatus",0.01072,3.1
"Apogon","Apogon campbelli",0.00851,3.14
"Apogon","Apogon caudicinctus",0.01072,3.1
"Apogon","Apogon coccineus",0.01072,3.1
"Apogon","Apogon crassiceps",0.01549,3.07
"Apogon","Apogon dammermani",0.01072,3.1
"Apogon","Apogon doryssa",0.01549,3.07
"Apogon","Apogon dovii",0.01072,3.1
"Apogon","Apogon guadalupensis",0.01072,3.1
"Apogon","Apogon pacificus",0.0103,3.074
"Apogon","Apogon retrosella",0.00977,3.192
"Apolemichthys","Apolemichthys arcuatus",0.0302,2.89
"Apolemichthys","Apolemichthys armitagei",0.0302,2.89
"Apolemichthys","Apolemichthys griffisi",0.0302,2.89
"Apolemichthys","Apolemichthys guezei",0.0302,2.89
"Apolemichthys","Apolemichthys kingi",0.0302,2.89
"Apolemichthys","Apolemichthys trimaculatus",0.0302,2.89
"Apolemichthys","Apolemichthys xanthopunctatus",0.0302,2.89
"Apolemichthys","Apolemichthys xanthotis",0.0302,2.89
"Apolemichthys","Apolemichthys xanthurus",0.0302,2.89
"Aporops","Aporops bilinearis",0.01122,3.06
"Aprion","Aprion virescens",0.012092,3.021243
"Apterygocampus","Apterygocampus epinnulatus",0.00049,3.1
"Aracana","Aracana aurita",0.01995,3.01
"Arnoglossus","Arnoglossus macrolophus",0.01047,3
"Arothron","Arothron caeruleopunctatus",0.02754,2.88
"Arothron","Arothron diadematus",0.02754,2.88
"Arothron","Arothron hispidus",0.064401,2.730874
"Arothron","Arothron immaculatus",0.0351,2.84464
"Arothron","Arothron manilensis",0.038744,2.801502
"Arothron","Arothron mappa",0.02754,2.88
"Arothron","Arothron meleagris",0.02754,2.88
"Arothron","Arothron nigropunctatus",0.02754,2.88
"Arothron","Arothron reticularis",0.02754,2.88
"Arothron","Arothron stellatus",0.093047,2.668335
"Arripis","Arripis truttacea",0.00955,3.01
"Aspidontus","Aspidontus dussumieri",0.00537,3.05
"Aspidontus","Aspidontus taeniatus",0.00537,3.05
"Assessor","Assessor macneilli",0.014471,2.725858
"Assessor","Assessor randalli",0.01096,2.98
"Asterorhombus","Asterorhombus cocosensis",0.01047,3
"Asterorhombus","Asterorhombus filifer",0.01047,3
"Asterorhombus","Asterorhombus intermedius",0.002775,3.741
"Asterropteryx","Asterropteryx ensifera",0.00617,3.08
"Asterropteryx","Asterropteryx semipunctata",0.01581,3
"Asterropteryx","Asterropteryx striata",0.00617,3.08
"Atherinomorus","Atherinomorus insularum",0.0197,3.34
"Atherinomorus","Atherinomorus lacunosus",0.006517,3.193236
"Atrosalarias","Atrosalarias fuscus",0.01491,3.01786
"Atule","Atule mate",0.01229,3.034095
"Atypichthys","Atypichthys latus",0.02291,2.99
"Atypichthys","Atypichthys strigatus",0.02291,2.99
"Aulacocephalus","Aulacocephalus temminckii",0.01122,3.06
"Aulohalaelurus","Aulohalaelurus labiosus",0.00324,3.11
"Aulostomus","Aulostomus chinensis",0.000728,3.69717
"Aurigequula","Aurigequula fasciata",0.013645,3.131159
"Austrolabrus","Austrolabrus maculatus",0.01995,3.01
"Auxis","Auxis thazard",0.007457,3.218762
"Axoclinus","Axoclinus cocoensis",0.0055,3.08
"Azurina","Azurina eupalama",0.01479,2.98
"Azurina","Azurina hirundo",0.01479,2.98
"Balistapus","Balistapus undulatus",0.0565,2.947
"Balistes","Balistes polylepis",0.043,2.71
"Balistes","Balistes willughbeii",0.0257,2.94
"Balistoides","Balistoides conspicillum",0.0257,2.94
"Balistoides","Balistoides viridescens",0.02442,3.01828
"Bathytoshia","Bathytoshia brevicaudata",0.00776,3.02
"Belonoperca","Belonoperca chabanaudi",0.00407,3.14
"Bhanotia","Bhanotia nuda",0.00049,3.1
"Bhanotia","Bhanotia pauciradiata",0.00049,3.1
"Blenniella","Blenniella chrysospilos",0.00741,3
"Blenniella","Blenniella cyanostigma",0.00741,3
"Blenniella","Blenniella periophthalmus",0.00741,3
"Bodianus","Bodianus albotaeniatus",0.01202,3.06
"Bodianus","Bodianus anthioides",0.01202,3.06
"Bodianus","Bodianus atrolumbus",0.01202,3.06
"Bodianus","Bodianus axillaris",0.01202,3.06
"Bodianus","Bodianus bathycapros",0.01202,3.06
"Bodianus","Bodianus bilunulatus",0.01202,3.06
"Bodianus","Bodianus bimaculatus",0.01202,3.06
"Bodianus","Bodianus busellatus",0.01202,3.06
"Bodianus","Bodianus cylindriatus",0.01202,3.06
"Bodianus","Bodianus diana",0.01202,3.06
"Bodianus","Bodianus dictynna",0.01202,3.06
"Bodianus","Bodianus diplotaenia",0.01202,3.06
"Bodianus","Bodianus eclancheri",0.01202,3.06
"Bodianus","Bodianus frenchii",0.01202,3.06
"Bodianus","Bodianus izuensis",0.01202,3.06
"Bodianus","Bodianus leucosticticus",0.01202,3.06
"Bodianus","Bodianus loxozonus",0.01202,3.06
"Bodianus","Bodianus macrognathos",0.01202,3.06
"Bodianus","Bodianus macrourus",0.01202,3.06
"Bodianus","Bodianus masudai",0.01202,3.06
"Bodianus","Bodianus mesothorax",0.01202,3.06
"Bodianus","Bodianus neilli",0.01202,3.06
"Bodianus","Bodianus neopercularis",0.00389,3.12
"Bodianus","Bodianus opercularis",0.01202,3.06
"Bodianus","Bodianus oxycephalus",0.01202,3.06
"Bodianus","Bodianus paraleucosticticus",0.01202,3.06
"Bodianus","Bodianus perditio",0.011142,3.110984
"Bodianus","Bodianus prognathus",0.01202,3.06
"Bodianus","Bodianus rubrisos",0.01202,3.06
"Bodianus","Bodianus sanguineus",0.00389,3.12
"Bodianus","Bodianus sepiacaudus",0.01,3.04
"Bodianus","Bodianus solatus",0.01202,3.06
"Bodianus","Bodianus tanyokidus",0.00389,3.12
"Bodianus","Bodianus thoracotaeniatus",0.01202,3.06
"Bodianus","Bodianus trilineatus",0.01202,3.06
"Bodianus","Bodianus unimaculatus",0.01202,3.06
"Bodianus","Bodianus vulpinus",0.01202,3.06
"Bolbometopon","Bolbometopon muricatum",0.01413,3.04
"Bothus","Bothus leopardinus",0.024578,2.700647
"Bothus","Bothus mancus",0.01047,3
"Bothus","Bothus myriaster",0.01047,3
"Bothus","Bothus pantherinus",0.00292,3.61292
"Bothus","Bothus swio",0.01047,3
"Bothus","Bothus tricirrhitus",0.01047,3
"Bovichtus","Bovichtus angustifrons",0.01,3.04
"Brachaluteres","Brachaluteres fahaqa",0.02188,2.91
"Brachaluteres","Brachaluteres jacksonianus",0.02188,2.91
"Brachaluteres","Brachaluteres taylori",0.02188,2.91
"Brachaluteres","Brachaluteres ulvarum",0.02188,2.91
"Bryaninops","Bryaninops natans",0.00617,3.08
"Bryx","Bryx veleronis",0.00049,3.1
"Bulbonaricus","Bulbonaricus brauni",0.00049,3.1
"Bulbonaricus","Bulbonaricus brucei",0.00049,3.1
"Bulbonaricus","Bulbonaricus davaoensis",0.00049,3.1
"Butis","Butis amboinensis",0.012726,2.768393
"Caesio","Caesio caerulaurea",0.014513,2.971531
"Caesio","Caesio cuning",0.00834,3.12133
"Caesio","Caesio lunaris",0.0363,2.972
"Caesio","Caesio striata",0.01259,3.09
"Caesio","Caesio suevica",0.01259,3.09
"Caesio","Caesio teres",0.0169,3.232
"Caesio","Caesio varilineata",0.01259,3.09
"Caesio","Caesio xanthalytos",0.01259,3.09
"Caesio","Caesio xanthonota",0.01259,3.09
"Caesioperca","Caesioperca lepidoptera",0.0978,2.643
"Caesioperca","Caesioperca rasor",0.00933,2.97
"Caesioscorpis","Caesioscorpis theagenes",0.01202,3.02
"Calamus","Calamus brachysomus",0.0257,2.89
"Calamus","Calamus taurinus",0.0257,2.89
"Callionymus","Callionymus enneactis",0.00933,2.77
"Callogobius","Callogobius sclateri",0.00891,3.07
"Calloplesiops","Calloplesiops altivelis",0.01995,3.01
"Calotomus","Calotomus carolinus",0.0091,3.28
"Calotomus","Calotomus japonicus",0.01995,3.01
"Calotomus","Calotomus spinidens",0.012274,3.192888
"Calotomus","Calotomus viridescens",0.01995,3.01
"Calotomus","Calotomus zonarchus",0.01995,3.01
"Campichthys","Campichthys nanus",0.00049,3.1
"Campichthys","Campichthys tricarinatus",0.00049,3.1
"Campichthys","Campichthys tryoni",0.00049,3.1
"Cantherhines","Cantherhines cerinus",0.02188,2.91
"Cantherhines","Cantherhines dumerilii",0.0406,2.792
"Cantherhines","Cantherhines fronticinctus",0.02188,2.91
"Cantherhines","Cantherhines nukuhiva",0.02188,2.91
"Cantherhines","Cantherhines pardalis",0.017,3.07
"Cantherhines","Cantherhines sandwichiensis",0.02188,2.91
"Cantheschenia","Cantheschenia grandisquamis",0.02188,2.91
"Canthidermis","Canthidermis macrolepis",0.0257,2.94
"Canthidermis","Canthidermis maculata",0.0257,2.94
"Canthigaster","Canthigaster amboinensis",0.02818,2.094
"Canthigaster","Canthigaster axiologus",0.02818,2.094
"Canthigaster","Canthigaster bennetti",0.02818,2.094
"Canthigaster","Canthigaster callisterna",0.02818,2.094
"Canthigaster","Canthigaster compressa",0.0647,2.863
"Canthigaster","Canthigaster coronata",0.02818,2.094
"Canthigaster","Canthigaster criobe",0.02818,2.094
"Canthigaster","Canthigaster epilampra",0.02818,2.094
"Canthigaster","Canthigaster flavoreticulata",0.02818,2.094
"Canthigaster","Canthigaster inframacula",0.02818,2.094
"Canthigaster","Canthigaster jactator",0.02818,2.094
"Canthigaster","Canthigaster janthinoptera",0.02818,2.094
"Canthigaster","Canthigaster leoparda",0.02818,2.094
"Canthigaster","Canthigaster margaritata",0.02818,2.094
"Canthigaster","Canthigaster marquesensis",0.02818,2.094
"Canthigaster","Canthigaster natalensis",0.02818,2.094
"Canthigaster","Canthigaster ocellicincta",0.02818,2.094
"Canthigaster","Canthigaster papua",0.0778,2.725
"Canthigaster","Canthigaster petersii",0.02818,2.094
"Canthigaster","Canthigaster punctata",0.02818,2.094
"Canthigaster","Canthigaster punctatissima",0.0323,2.953
"Canthigaster","Canthigaster pygmaea",0.02818,2.094
"Canthigaster","Canthigaster rapaensis",0.02818,2.094
"Canthigaster","Canthigaster rivulata",0.02818,2.094
"Canthigaster","Canthigaster smithae",0.02818,2.094
"Canthigaster","Canthigaster solandri",0.02989,2.97881
"Canthigaster","Canthigaster tyleri",0.02818,2.094
"Canthigaster","Canthigaster valentini",0.052938,2.744192
"Caprodon","Caprodon longimanus",0.00933,2.97
"Caracanthus","Caracanthus maculatus",0.01995,3.01
"Caracanthus","Caracanthus typicus",0.01995,3.01
"Carangoides","Carangoides armatus",0.03227,2.823694
"Carangoides","Carangoides bajad",0.0199,2.869
"Carangoides","Carangoides chrysophrys",0.019848,2.894006
"Carangoides","Carangoides coeruleopinnatus",0.023265,2.88612
"Carangoides","Carangoides dinema",0.01905,2.94
"Carangoides","Carangoides equula",0.050153,2.745133
"Carangoides","Carangoides ferdau",0.025497,2.83241
"Carangoides","Carangoides fulvoguttatus",0.02885,2.768673
"Carangoides","Carangoides gymnostethus",0.03372,2.776081
"Carangoides","Carangoides hedlandensis",0.027685,2.85158
"Carangoides","Carangoides humerosus",0.0157,2.939
"Carangoides","Carangoides malabaricus",0.028528,2.833393
"Carangoides","Carangoides oblongus",0.01905,2.94
"Carangoides","Carangoides orthogrammus",0.011985,3.009928
"Carangoides","Carangoides plagiotaenia",0.0782,2.598
"Carangoides","Carangoides praeustus",0.01905,2.94
"Carangoides","Carangoides talamparoides",0.00738,3.319
"Caranx","Caranx bucculentus",0.005715,3.009509
"Caranx","Caranx caballus",0.0325,2.91
"Caranx","Caranx caninus",0.0129,2.98
"Caranx","Caranx heberi",0.0166,2.96
"Caranx","Caranx ignobilis",0.012104,2.993242
"Caranx","Caranx lugubris",0.01449,2.90695
"Caranx","Caranx melampygus",0.017067,2.943245
"Caranx","Caranx papuensis",0.020086,2.899337
"Caranx","Caranx sexfasciatus",0.014866,2.994104
"Caranx","Caranx tille",0.0088,3.163
"Carcharhinus","Carcharhinus albimarginatus",0.00437,3.1
"Carcharhinus","Carcharhinus altimus",0.00102,3.461
"Carcharhinus","Carcharhinus amblyrhynchoides",0.00468,3.1
"Carcharhinus","Carcharhinus amblyrhynchos",0.005055,3.21133
"Carcharhinus","Carcharhinus amboinensis",0.00468,3.1
"Carcharhinus","Carcharhinus borneensis",0.00468,3.1
"Carcharhinus","Carcharhinus brachyurus",0.00468,3.1
"Carcharhinus","Carcharhinus brevipinna",0.003619,3.088491
"Carcharhinus","Carcharhinus cautus",0.00142,3.334
"Carcharhinus","Carcharhinus cerdale",0.00468,3.1
"Carcharhinus","Carcharhinus coatesi",0.00468,3.1
"Carcharhinus","Carcharhinus dussumieri",0.002758,3.123059
"Carcharhinus","Carcharhinus falciformis",0.006645,3.006672
"Carcharhinus","Carcharhinus fitzroyensis",0.00142,3.292
"Carcharhinus","Carcharhinus galapagensis",0.00468,3.1
"Carcharhinus","Carcharhinus hemiodon",0.00468,3.1
"Carcharhinus","Carcharhinus leucas",0.0175,2.84
"Carcharhinus","Carcharhinus limbatus",0.022941,2.881574
"Carcharhinus","Carcharhinus longimanus",0.0537,2.87
"Carcharhinus","Carcharhinus melanopterus",0.00033,3.649
"Carcharhinus","Carcharhinus obscurus",0.02327,2.786
"Carcharhinus","Carcharhinus plumbeus",0.00501,3.17
"Carcharhinus","Carcharhinus sealei",0.00468,3.1
"Carcharhinus","Carcharhinus sorrah",0.012993,3.018971
"Carcharhinus","Carcharhinus tilstoni",0.00468,3.1
"Carcharhinus","Carcharhinus tjutjot",0.00468,3.1
"Caulolatilus","Caulolatilus princeps",0.00537,3.03
"Centropyge","Centropyge acanthops",0.0302,2.89
"Centropyge","Centropyge aurantia",0.0302,2.89
"Centropyge","Centropyge bicolor",0.0302,2.89
"Centropyge","Centropyge bispinosa",0.111214,2.360317
"Centropyge","Centropyge boylei",0.0302,2.89
"Centropyge","Centropyge colini",0.0302,2.89
"Centropyge","Centropyge debelius",0.0302,2.89
"Centropyge","Centropyge deborae",0.0302,2.89
"Centropyge","Centropyge eibli",0.0302,2.89
"Centropyge","Centropyge ferrugata",0.0302,2.89
"Centropyge","Centropyge fisheri",0.0545,2.59
"Centropyge","Centropyge flavipectoralis",0.0302,2.89
"Centropyge","Centropyge flavissima",0.0302,2.89
"Centropyge","Centropyge heraldi",0.0302,2.89
"Centropyge","Centropyge hotumatua",0.0302,2.89
"Centropyge","Centropyge interrupta",0.0302,2.89
"Centropyge","Centropyge joculator",0.0302,2.89
"Centropyge","Centropyge loriculus",0.0302,2.89
"Centropyge","Centropyge multicolor",0.0302,2.89
"Centropyge","Centropyge multispinis",0.0302,2.89
"Centropyge","Centropyge nahackyi",0.0302,2.89
"Centropyge","Centropyge nigriocella",0.0302,2.89
"Centropyge","Centropyge nox",0.0302,2.89
"Centropyge","Centropyge potteri",0.0302,2.89
"Centropyge","Centropyge shepardi",0.0302,2.89
"Centropyge","Centropyge tibicen",0.054527,2.744557
"Centropyge","Centropyge venusta",0.0302,2.89
"Centropyge","Centropyge vrolikii",0.0302,2.89
"Cephalopholis","Cephalopholis aitha",0.01259,3.05
"Cephalopholis","Cephalopholis argus",0.011562,3.143294
"Cephalopholis","Cephalopholis aurantia",0.01259,3.05
"Cephalopholis","Cephalopholis boenak",0.014562,3.024733
"Cephalopholis","Cephalopholis cyanostigma",0.0345,2.944
"Cephalopholis","Cephalopholis formosa",0.0127,2.863
"Cephalopholis","Cephalopholis hemistiktos",0.01259,3.05
"Cephalopholis","Cephalopholis leopardus",0.01259,3.05
"Cephalopholis","Cephalopholis microprion",0.0228,3.13
"Cephalopholis","Cephalopholis miniata",0.017727,2.995795
"Cephalopholis","Cephalopholis nigripinnis",0.01259,3.05
"Cephalopholis","Cephalopholis oligosticta",0.01259,3.05
"Cephalopholis","Cephalopholis panamensis",0.0217,3.035
"Cephalopholis","Cephalopholis polleni",0.01259,3.05
"Cephalopholis","Cephalopholis polyspila",0.01259,3.05
"Cephalopholis","Cephalopholis sexmaculata",0.01259,3.05
"Cephalopholis","Cephalopholis sonnerati",0.013401,3.159971
"Cephalopholis","Cephalopholis spiloparaea",0.0254,3.053
"Cephalopholis","Cephalopholis urodeta",0.02822,2.81775
"Cephaloscyllium","Cephaloscyllium laticeps",0.00324,3.11
"Cetoscarus","Cetoscarus bicolor",0.0276,2.92
"Cetoscarus","Cetoscarus ocellatus",0.0276,2.92
"Chaetodermis","Chaetodermis penicilligerus",0.02188,2.91
"Chaetodipterus","Chaetodipterus zonatus",0.029576,2.697843
"Chaetodon","Chaetodon adiergastos",0.02291,3.01
"Chaetodon","Chaetodon andamanensis",0.02291,3.01
"Chaetodon","Chaetodon argentatus",0.02291,3.01
"Chaetodon","Chaetodon assarius",0.02291,3.01
"Chaetodon","Chaetodon aureofasciatus",0.02291,3.01
