speccode,species,a,b,lmax_old,family,lmax
226,Xiphias gladius,0.004537647,3.237476471,281,Xiphiidae,455
2076,Arapaima gigas,0.01663,2.9585,224,Arapaimidae,450
749,Odontaspis ferox,0.00589,3,NA,Odontaspididae,450
752,Isurus oxyrinchus,0.1082,2.868,338,Lamnidae,445
2544,Somniosus pacificus,0.016035,2.93,233,Somniosidae,440
2532,Ginglymostoma cirratum,0.006475,2.876,157,Ginglymostomatidae,430
912,Sphyrna lewini,0.007128125,3.054658125,243,Sphyrnidae,430
6381,Bathytoshia brevicaudata,0.00776,3.02,NA,Dasyatidae,430
5891,Alopias pelagicus,0.01775,2.5875,NA,Alopiidae,428
138,Somniosus microcephalus,0.01435,3.1902,408,Somniosidae,427
223,Kajikia audax,0.011072727,2.931790909,283,Istiophoridae,420
878,Carcharhinus obscurus,0.015566667,2.912333333,287,Carcharhinidae,420
2593,Acipenser oxyrinchus,0.00173,3.18,152,Acipenseridae,403
898,Prionace glauca,0.005192857,3.170728571,288,Carcharhinidae,400
8595,Strophidon sathete,0.01103,2.31792,260,Muraenidae,400
875,Carcharhinus longimanus,0.038625,2.852675,270,Carcharhinidae,400
7954,Dasyatis thetidis,0.0203,3,175,Dasyatidae,400
2577,Gymnura altavela,0.015623333,2.918266667,127,Gymnuridae,400
896,Negaprion acutidens,0.00841,3,108,Carcharhinidae,380
50621,Spatuloricaria gymnogaster,0.005,3.007,37,Loricariidae,370
870,Carcharhinus galapagensis,0.0136,3,173,Carcharhinidae,370
756,Eucrossorhinus dasypogon,0.00389,3.12,NA,Orectolobidae,366
6420,Brachyplatystoma filamentosum,0.015955,2.957,225,Pimelodidae,360
873,Carcharhinus leucas,0.007104,2.8986,300,Carcharhinidae,360
5374,Stegostoma fasciatum,0.00389,3.12,NA,Stegostomatidae,354
88,Lamna nasus,0.0511,2.76925,227,Lamnidae,350
868,Carcharhinus falciformis,0.014798571,3.025428571,260,Carcharhinidae,350
77,Istiophorus platypterus,0.020606667,2.731916667,348,Istiophoridae,348
897,Negaprion brevirostris,0.0053,3.16,210,Carcharhinidae,340
10207,Masturus lanceolatus,0.6615,2.565,195,Molidae,337
1732,Mola mola,0.05245,3.015,213,Molidae,333
747,Carcharias taurus,0.0106,2.94,NA,Odontaspididae,330
1250,Aetobatus narinari,0.00586,3.13,NA,Aetobatidae,330
6482,Taeniurops meyeni,0.00776,3.02,NA,Dasyatidae,330
13194,Mobula tarapacana,0.01,3.04,NA,Myliobatidae,328
864,Carcharhinus brachyurus,0.0104,2.9,NA,Carcharhinidae,325
5895,Nebrius ferrugineus,0.00417,3.07,NA,Ginglymostomatidae,320
78,Istiophorus albicans,0.005966667,2.003333333,288,Istiophoridae,315
5503,Rhynchobatus djiddensis,0.00384,3.06,NA,Rhinidae,310
1073,Atractosteus spatula,0.00963,3,236,Lepisosteidae,305
219,Kajikia albida,0.00463,3,NA,Istiophoridae,300
14290,Thunnus orientalis,0.0166,3,228.5,Scombridae,300
12060,Catlocarpio siamensis,0.0393,3,113,Cyprinidae,300
879,Carcharhinus perezi,0.0271,3,137,Carcharhinidae,300
292,Pangasius pangasius,0.0102075,3.007,80.2,Pangasiidae,300
858,Carcharhinus albimarginatus,0.001575,3.7555,76,Carcharhinidae,300
865,Carcharhinus brevipinna,0.004275,3.07,215,Carcharhinidae,300
301,Conger conger,0.000684667,3.318146667,180,Congridae,300
1044,Ruvettus pretiosus,0.00633,3.067,188,Gempylidae,300
2572,Bathytoshia centroura,0.005265,3,220,Dasyatidae,300
2531,Notorynchus cepedianus,0.00668,3,170,Hexanchidae,300
6380,Gymnothorax javanicus,0.0035,3,NA,Muraenidae,300
3265,Trachipterus arcticus,0.00183,3,155,Trachipteridae,300
6192,Pangasianodon gigas,0.02615,3,133,Pangasiidae,300
6193,Pangasius sanitwongsei,0.0251,3,142,Pangasiidae,300
859,Carcharhinus altimus,0.00102,3.461,210,Carcharhinidae,300
6085,Acipenser schrenckii,0.002163333,3.3719,188,Acipenseridae,300
5391,Gymnothorax favagineus,0.00095,3.1,NA,Muraenidae,300
759,Orectolobus ornatus,0.00389,3.12,NA,Orectolobidae,290
2058,Dipturus batis,0.0091,3.0161,210.5,Rajidae,285
8731,Glaucostegus granulatus,0.0045,2.8995,72,Glaucostegidae,280
883,Carcharhinus signatus,0.004084,3.2297,239,Carcharhinidae,280
862,Carcharhinus amboinensis,0.00468,3.1,NA,Carcharhinidae,280
9194,Tor putitora,0.014846667,2.890333333,40.2,Cyprinidae,275
874,Carcharhinus limbatus,0.03634625,2.849145,230,Carcharhinidae,275
2591,Acipenser fulvescens,0.147560769,3.104307692,NA,Acipenseridae,274
2592,Acipenser medirostris,0.00593,3,163,Acipenseridae,270
6468,Epinephelus lanceolatus,0.0173,3,190,Serranidae,270
514,Hippoglossus stenolepis,0.00611,3.14408,172,Pleuronectidae,258
9763,Acipenser persicus,0.0139,2.807,255,Acipenseridae,255
861,Carcharhinus amblyrhynchos,0.005525,3.21133,120,Carcharhinidae,255
220,Tetrapturus pfluegeri,0.00442,3,225,Istiophoridae,254
3310,Stereolepis gigas,0.02214,3,226,Polyprionidae,250
1745,Ophisurus serpens,0.00087,2.987,211.5,Ophichthidae,250
7546,Gymnothorax funebris,0.0024,3.048,213,Muraenidae,250
8969,Taeniura grabata,0.00869,3,213,Dasyatidae,250
89,Acanthocybium solandri,0.002717778,3.240444444,176,Scombridae,250
1079,Megalops atlanticus,0.008355,2.9635,205,Megalopidae,250
16,Epinephelus itajara,0.0131,3.056,NA,Serranidae,250
8260,Gymnura poecilura,0.018911111,3.077555556,107.5,Gymnuridae,250
382,Seriola lalandi,0.040975,2.766,NA,Carangidae,250
5508,Gymnura natalensis,0.00768,3.02,NA,Gymnuridae,250
2065,Acipenser stellatus,0.0207,2.61005,250,Acipenseridae,250
6491,Enchelynassa canina,0.00143,3,73,Muraenidae,250
146,Thunnus obesus,0.01904,3.0056,190,Scombridae,250
66479,Epinephelus quinquefasciatus,0.01148,3.04,NA,Serranidae,250
106,Gymnosarda unicolor,0.0257,2.9325,102,Scombridae,248
137,Scomberomorus sinensis,0.00824,3,170,Scombridae,247
145,Thunnus maccoyii,0.019158333,3.033666667,NA,Scombridae,245
2556,Beringraja binoculata,0.00675,3,183,Rajidae,244
2074,Glaucostegus cemiculus,0.00323,3.00995,218,Glaucostegidae,242
10243,Wallago attu,0.008643333,2.970136667,145,Siluridae,240
1823,Tetrapturus belone,0.00313,3,236,Istiophoridae,240
121,Scomberomorus commerson,0.0102625,2.947880417,155,Scombridae,240
5392,Gymnothorax flavimarginatus,4.00E-04,3.35,88.5,Muraenidae,240
13145,Dipturus innominatus,0.00137,3.38,48,Rajidae,240
143,Thunnus albacares,0.02941,2.93369,172,Scombridae,239
4712,Acipenser gueldenstaedtii,0.007366667,2.9767,225,Acipenseridae,236
6439,Epinephelus malabaricus,0.017423333,3.04963,153,Serranidae,234
1288,Trichiurus lepturus,0.011518919,3.172098649,155,Trichiuridae,234
11957,Luciobarbus esocinus,0.007333333,2.991,42.2,Cyprinidae,230
1207,Hyporthodus nigritus,0.0201,2.98,NA,Serranidae,230
3915,Tetrapturus angustirostris,0.001015,3.779,NA,Istiophoridae,230
8563,Benthodesmus tenuis,1.00E-05,4.02,55.1,Trichiuridae,230
5009,Pseudotolithus senegallus,0.00993,3,85,Sciaenidae,230
7613,Rostroraja alba,0.00529,3.03,128,Rajidae,230
418,Argyrosomus regius,0.017392,2.8512,180,Sciaenidae,230
300,Conger oceanicus,0.00016,3.645,29,Congridae,230
5604,Cheilinus undulatus,0.0157775,3.05755,134.3,Labridae,229
5011,Aetomylaeus bovinus,0.009825,3.3717,86,Myliobatidae,222
174,Polyodon spathula,0.020157143,3.025714286,152.39999,Polyodontidae,221
298,Muraenesox cinereus,0.0374,2.8,45.2,Muraenesocidae,220
5941,Mustelus manazo,0.003233333,3.119666667,NA,Triakidae,220
2588,Mobula thurstoni,0.0038,3.08,NA,Myliobatidae,220
99,Alepisaurus ferox,0.00465,3,46,Alepisauridae,215
467,Dissostichus eleginoides,0.01095,3.02,89,Nototheniidae,215
2584,Rhinoptera bonasus,0.013462,3.044,107,Myliobatidae,213
907,Triaenodon obesus,0.001625,3.362965,108,Carcharhinidae,213
3929,Icosteus aenigmaticus,0.00597,3,160,Icosteidae,213
12008,Ophichthus rex,0.00378,3,184,Ophichthidae,211
2505,Acipenser nudiventris,0.01788,3.0978,211,Acipenseridae,211
349,Polyprion americanus,0.0220575,2.8546875,146,Polyprionidae,210
6,Coryphaena hippurus,0.031154615,2.820461538,179,Coryphaenidae,210
8435,Albatrossia pectoralis,0.0004325,3.525025,149,Macrouridae,210
645,Lepidopus caudatus,0.001948,3.1372,188,Trichiuridae,210
5030,Sphyraena afra,0.010475,2.9105,172,Sphyraenidae,205
13777,Cynoponticus coniceps,0.004,2.686,74.5,Muraenesocidae,202
23382,Stereolepis doederleini,0.0173,3,163,Polyprionidae,200
353,Morone saxatilis,0.00677,3.094666667,NA,Moronidae,200
4497,Lates angustifrons,0.015433333,2.993333333,NA,Latidae,200
3276,Fistularia petimba,0.00029,3.17378,44,Fistulariidae,200
7039,Dissostichus mawsoni,0.0214,2.883,162,Nototheniidae,200
347,Lates niloticus,0.0172225,3.022491667,190,Latidae,200
1076,Lepisosteus osseus,0.00084,3.3135,136.89999,Lepisosteidae,200
340,Eleutheronema tetradactylum,0.006733333,3.036666667,61.3,Polynemidae,200
482,Genypterus blacodes,0.001096667,3.391983333,118.8,Ophidiidae,200
9182,Parahucho perryi,0.014695,2.92325,81,Salmonidae,200
635,Chlamydoselachus anguineus,0.0021,3,NA,Chlamydoselachidae,200
3542,Rachycentron canadum,0.006817778,3.099555556,165,Rachycentridae,200
447,Petrus rupestris,0.027333333,2.951333333,NA,Sparidae,200
940,Hemitrygon akajei,0.00388,3,140,Dasyatidae,200
8976,Rhinoptera marginata,0.01,2.1347,92,Myliobatidae,200
857,Carcharhinus acronotus,0.0127,3,114,Carcharhinidae,200
69,Gadus morhua,0.007456341,3.070817073,126.5,Gadidae,200
4683,Acipenser baerii,0.00132,3.55215,142,Acipenseridae,200
8681,Hucho taimen,0.01723,3.03908,158,Salmonidae,200
489,Thyrsites atun,0.010216,2.871,88,Gempylidae,200
3275,Fistularia tabacaria,0.002745,2.92,141.89999,Fistulariidae,200
1725,Luvarus imperialis,0.0194,3,102,Luvaridae,200
1235,Sphyraena barracuda,0.018224,2.92719,139,Sphyraenidae,200
5514,Muraenesox bagio,0.003323333,2.99176,106,Muraenesocidae,200
82,Labeo rohita,0.017094286,2.919285714,84.5,Cyprinidae,200
346,Lates calcarifer,0.040433333,2.8099,101,Latidae,200
450,Lithognathus lithognathus,0.02305,2.9335,46.5,Sparidae,200
1248,Hypanus guttatus,0.01882,3.09,167,Dasyatidae,200
4644,Tor tor,0.0177,3,135,Cyprinidae,200
1247,Hypanus americanus,0.0739,2.81,134,Dasyatidae,200
419,Argyrosomus hololepidotus,0.005595,3.11759,188,Sciaenidae,200
1072,Lampris guttatus,0.041045,3,137,Lampridae,200
3261,Lophotus lacepede,0.00291,3,146,Lophotidae,200
5002,Polydactylus quadrifilis,0.009166667,3.053166667,143,Polynemidae,200
4996,Mustelus mustelus,0.001956,3.17656,159,Triakidae,200
8734,Protopterus aethiopicus,0.0208,3.108,83.2,Protopteridae,200
877,Carcharhinus melanopterus,0.007665,3.1995,125,Carcharhinidae,200
7698,Thyrsitoides marleyi,0.0015,3.609,NA,Gempylidae,200
23314,Bagarius yarrelli,0.0146,2.72,76.9,Sisoridae,200
1236,Sphyraena guachancho,0.0132,2.88,44.2,Sphyraenidae,200
5525,Epinephelus tukula,0.106,2.56,NA,Serranidae,200
5507,Himantura uarnak,0.04925,2.919,129.10001,Dasyatidae,200
2595,Scaphirhynchus albus,0.0023,3.758,NA,Acipenseridae,200
12006,Bagarius bagarius,0.007855,2.92105,42,Sisoridae,200
1042,Lepidocybium flavobrunneum,0.01865,2.92,180,Gempylidae,200
692,Lichia amia,0.02805,2.8454,63,Carangidae,200
12068,Elopichthys bambusa,0.0121,2.9246,130.60001,Cyprinidae,200
285,Megalobrama amblycephala,0.032071429,3.037857143,45.9,Cyprinidae,200
33,Molva molva,0.0030075,3.1799,172,Lotidae,200
716,Lophius piscatorius,0.023187333,2.88332,134,Lophiidae,200
15483,Maculabatis gerrardi,0.038355556,2.984444444,80,Dasyatidae,200
7498,Evoxymetopon taeniatus,0.00193,2.802,90.5,Trichiuridae,200
7547,Gymnothorax moringa,0.000773333,3.219666667,103,Muraenidae,200
871,Carcharhinus hemiodon,0.00468,3.1,NA,Carcharhinidae,200
15721,Carcharhinus tilstoni,0.00468,3.1,NA,Carcharhinidae,200
7338,Epinephelus daemelii,0.01148,3.04,NA,Serranidae,200
2543,Triakis semifasciata,0.00305,3.05,NA,Triakidae,198
3333,Mycteroperca jordani,0.01873,3,137,Serranidae,198
4642,Galeorhinus galeus,0.008025,2.975858333,169,Triakidae,193
58421,Brachyplatystoma rousseauxii,0.01233,3.032,147,Pimelodidae,192
952,Sciades parkeri,0.00612,3.25,107.5,Ariidae,190
5936,Mustelus punctulatus,0.001,3.25,91.8,Triakidae,190
1005,Seriola dumerili,0.026241667,2.886333333,177,Carangidae,190
7381,Dasyatis brevis,0.00711,3,187,Dasyatidae,187
908,Eusphyra blochii,0.00271,3.56,NA,Sphyrnidae,186
11878,Anguilla dieffenbachii,0.001880909,3.233090909,NA,Anguillidae,185
10220,Netuma thalassina,0.0581175,2.77385,87,Ariidae,185
120,Scomberomorus cavalla,0.019857692,2.955569231,159,Scombridae,184
736,Squatina squatina,0.0346,2.708,136.5,Squatinidae,183
2711,Esox masquinongy,0.007316,3.1881,NA,Esocidae,183
4330,Myliobatis aquila,0.103633333,2.867333333,90,Myliobatidae,183
134,Scomberomorus regalis,0.0202,2.8,66,Scombridae,183
5144,Channa marulius,0.0132,2.9295,46,Channidae,183
12003,Silonia silondia,0.007,2.99,25.2,Schilbeidae,183
12587,Pateobatis fai,0.00302,3,183,Dasyatidae,183
4031,Erilepis zonifer,0.04747,2.7755,180,Anoplopomatidae,183
8203,Pastinachus sephen,0.038266667,3.08,71,Dasyatidae,183
4439,Gibelion catla,0.021752,3.205,114,Cyprinidae,182
669,Dalatias licha,0.0117,3,97,Dalatiidae,182
11979,Argyrosomus japonicus,0.0268,2.834666667,72,Sciaenidae,181
3810,Anarhichas denticulatus,0.078,2.615,NA,Anarhichadidae,180
638,Hexanchus nakamurai,0.00124,3.474,NA,Hexanchidae,180
6957,Diastobranchus capensis,0.00023,3.35,138.2,Synaphobranchidae,180
880,Carcharhinus plumbeus,0.01706,3.2122,201,Carcharhinidae,180
2645,Echiophis punctifer,0.00152,3,NA,Ophichthidae,180
80,Chanos chanos,0.018659474,3.029321579,71.9,Chanidae,180
10311,Maccullochella peelii,0.012425,3.1205,NA,Percichthyidae,180
112,Sarda australis,0.00767,3,107,Scombridae,180
485,Genypterus capensis,0.00125,3.33,NA,Ophidiidae,180
2553,Tetronarce nobiliana,0.03799,2.9507,97.5,Torpedinidae,180
3811,Anarhichas minor,0.00172,3.399,NA,Anarhichadidae,180
4602,Mylopharyngodon piceus,0.019594,2.9526,83.6,Cyprinidae,180
5496,Sperata aor,0.0044125,3.0315,80,Bagridae,180
412,Elagatis bipinnulata,0.03435,2.6175,61,Carangidae,180
2582,Myliobatis californica,0.0038,3.08,NA,Myliobatidae,180
58603,Gymnothorax isingteena,0.00095,3.1,NA,Muraenidae,180
7465,Gymnothorax nudivomer,0.00095,3.1,NA,Muraenidae,180
899,Rhizoprionodon acutus,0.006661667,2.990666667,144,Carcharhinidae,175
1273,Anguilla labiata,0.00023,3.517,NA,Anguillidae,175
14420,Achoerodus gouldii,0.018,3.0441,NA,Labridae,175
4512,Neoceratodus forsteri,0.012,3,NA,Neoceratodontidae,170
7939,Sphyraena qenie,0.00555,3,107,Sphyraenidae,170
425,Pogonias cromis,0.013652,3.0256,133.5,Sciaenidae,170
6427,Polydactylus macrochir,0.010525,3,105,Polynemidae,170
648,Centrophorus granulosus,0.002538571,3.280714286,107,Centrophoridae,170
1934,Clarias gariepinus,0.019848696,2.959321739,110,Clariidae,170
1895,Caranx ignobilis,0.028973333,2.943140833,133,Carangidae,170
169,Lutjanus novemfasciatus,0.01913,2.945,135,Lutjanidae,170
13783,Gymnothorax dovii,0.00095,3.1,NA,Muraenidae,170
742,Heterodontus mexicanus,0.00389,3.12,NA,Heterodontidae,170
2063,Latimeria chalumnae,0.05588,2.926666667,180,Latimeriidae,168
4519,Gymnarchus niloticus,0.0039,2.978,150,Gymnarchidae,167
8674,Pseudoplatystoma corruscans,0.004191667,3.279666667,182,Pimelodidae,166
3578,Atractoscion nobilis,0.0123,2.942,NA,Sciaenidae,166
58670,Hemibagrus maydelli,0.00118,3.434,NA,Bagridae,165
3019,Ictalurus furcatus,0.007403333,3.273333333,139,Ictaluridae,165
1765,Sphyraena sphyraena,0.031578333,2.715333333,93.2,Sphyraenidae,165
10,Alectis indica,0.07635,2.605,20.5,Carangidae,165
743,Heterodontus portusjacksoni,0.004125714,3.196857143,122.5,Heterodontidae,165
2609,Echidna catenata,0.0012,3.1577,NA,Muraenidae,165
9217,Epinephelus caninus,0.0202,3,NA,Serranidae,164
100,Gasterochisma melampus,0.01128,3,175.5,Scombridae,164
653,Centrophorus squamosus,0.002226667,3.263333333,145,Centrophoridae,164
3550,Nematistius pectoralis,0.01313,2.96,162,Nematistiidae,163
2555,Bathyraja aleutica,0.00245,3.19475,143,Arhynchobatidae,161
860,Carcharhinus amblyrhynchoides,0.00468,3.1,NA,Carcharhinidae,161
350,Polyprion oxygeneios,0.015936,2.979,NA,Polyprionidae,160
1007,Seriola rivoliana,0.021992,2.9532,98.4,Carangidae,160
12056,Otolithoides pama,0.0075,3.02,23.5,Sciaenidae,160
7476,Synaphobranchus affinis,0.00043,3.3,65.3,Synaphobranchidae,160
1427,Lutjanus cyanopterus,0.31606,3.033,109,Lutjanidae,160
4570,Otolithoides biauritus,0.0347,2.55,22.1,Sciaenidae,160
5444,Fistularia commersonii,0.004223333,2.846666667,104,Fistulariidae,160
884,Carcharhinus sorrah,0.01461,2.94768,91,Carcharhinidae,160
5943,Mustelus antarcticus,0.00652,3,15,Triakidae,157
1191,Sciaenops ocellatus,0.010683333,3.042,144,Sciaenidae,155
3051,Pylodictis olivaris,0.007932857,3.200142857,99.1,Ictaluridae,155
6574,Hyporthodus septemfasciatus,0.00332,3.348,170,Serranidae,155
1383,Molva dypterygia,0.00191,3.149,142,Lotidae,155
322,Merluccius australis,0.002346667,3.274166667,131,Merlucciidae,155
976,Tylosurus acus acus,0.0015,3.13,114,Belonidae,153
12600,Aetobatus ocellatus,0.0038,3.08,NA,Aetobatidae,153
4228,Paralichthys californicus,0.00814,3.071,132,Paralichthyidae,152
509,Ophiodon elongatus,0.0133,3,133,Hexagrammidae,152
296,Anguilla rostrata,0.001244,3.1596,107.6,Anguillidae,152
310,Lota lota,0.007705714,3.005557143,112,Lotidae,152
728,Squatina australis,0.01617,2.9077,NA,Squatinidae,152
646,Aphanopus carbo,0.000946,3.1838,132,Trichiuridae,151
4827,Sphyraena jello,0.011922222,2.922777778,93.2,Sphyraenidae,150
5422,Probarbus jullieni,0.013533333,3.03,105,Cyprinidae,150
6469,Epinephelus magniscuttis,0.03315,3.011,80,Serranidae,150
1729,Muraena helena,0.003425556,2.999455556,134,Muraenidae,150
1960,Seriola hippos,0.0137,3,138,Carangidae,150
10111,Sperata seenghala,0.00458,3.046825,113,Bagridae,150
249,Centrolophus niger,0.0024,3.346,65.5,Centrolophidae,150
1209,Mycteroperca bonaci,0.033643333,3.034666667,143,Serranidae,150
988,Alectis ciliaris,0.046266667,2.774333333,114,Carangidae,150
718,Oxynotus centrina,0.0151,3,61.7,Oxynotidae,150
7971,Rhinoptera javanica,0.02036,3.0368,81,Myliobatidae,150
244,Oncorhynchus tshawytscha,0.01333,3,149,Salmonidae,150
866,Carcharhinus cautus,0.00142,3.334,119,Carcharhinidae,150
381,Seriola quinqueradiata,0.0127,3,116,Carangidae,150
2503,Chimaera monstrosa,0.003513333,3.120333333,93.3,Chimaeridae,150
13307,Hemibagrus microphthalmus,0.0311,2.925,113,Bagridae,150
7555,Brachyplatystoma vaillantii,0.028605,2.705,69,Pimelodidae,150
227,Megalops cyprinoides,0.01263,3.035793333,47.8,Megalopidae,150
54808,Arabibarbus grypus,0.0084,3.0016,NA,Cyprinidae,150
4571,Protonibea diacanthus,0.0128,2.94,NA,Sciaenidae,150
12964,Myliobatis tobijei,0.00772,3,244,Myliobatidae,150
4664,Hucho hucho,0.022215,2.87003,150,Salmonidae,150
1407,Lutjanus argentimaculatus,0.027825,2.9291575,82,Lutjanidae,150
915,Sphyrna tiburo,0.001135,3.266,NA,Sphyrnidae,150
236,Salmo salar,0.023727857,2.940302143,41.5,Salmonidae,150
10360,Scombrops boops,0.0139,3,105,Scombropidae,150
6470,Epinephelus marginatus,0.009843333,3.118483333,100.2,Serranidae,150
8765,Chitala lopis,0.0173,2.69,20.6,Notopteridae,150
4905,Gymnothorax undulatus,0.00164,3,78,Muraenidae,150
54813,Luciobarbus xanthopterus,0.01165,3.0046,NA,Cyprinidae,150
54032,Sympterygia acuta,0.004666667,2.984333333,57,Arhynchobatidae,150
8167,Plotosus canius,0.012385,2.7855,68.3,Plotosidae,150
3260,Eumecichthys fiski,0.0031,3,NA,Lophotidae,150
79,Ctenopharyngodon idella,0.023620769,2.924023077,78.2,Cyprinidae,150
1096,Cynoponticus savanna,0.000873333,2.736666667,139.60001,Muraenesocidae,150
4721,Bagrus meridionalis,0.005535,3.0955,105,Bagridae,150
2501,Anarhichas lupus,0.004756,3.23336,105.5,Anarhichadidae,150
295,Anguilla japonica,0.00053,3.268,NA,Anguillidae,150
23247,Lophius litulon,0.0225,2.94,32,Lophiidae,150
10254,Labeo gonius,0.00305,3.211,40.1,Cyprinidae,150
977,Tylosurus crocodilus,0.0008375,3.1949525,98.6,Belonidae,150
1075,Lepisosteus oculatus,0.00177,3.387666667,73.7,Lepisosteidae,150
2319,Heterobranchus longifilis,0.01359,2.7916,93.6,Clariidae,150
5319,Synbranchus marmoratus,0.00125,3.076,50,Synbranchidae,150
